trimestre;act_total;act_circ;act_efectivo;act_clientes;act_cc_fin;act_cc_no_fin;act_inventarios;act_bonos_cp;act_derivados;act_otros_circ;act_no_circ;act_inv_perm;act_ppye;act_doc_cob_lp;act_imp_dif;act_intangibles;act_otros;act_bonos_lp;act_der_uso;pas_total;pas_cp;pas_deuda_cp;pas_prov;pas_imp_cp;pas_acum;pas_derivados;pas_arr_cp;pas_lp;pas_deuda_lp;pas_benef_emp;pas_prov_div;pas_otros;pas_imp_dif;pas_arr_lp;pat_total;pat_ctrl;pat_cert_a;pat_aport_gob;pat_res_legal;pat_res_acum;pat_def_acum;pat_def_ant;pat_res_neta;pat_no_ctrl;pas_pat_total;prod_hidro_tot;prod_liquidos;prod_crudo;prod_pemex;prod_socios;prod_condensados;prod_gas_nat;prod_gas_pemex;prod_gas_socios;prod_gas_seco_planta;prod_liq_gas;prod_petroliferos;prod_gas_seco;prod_petroliferos_2;prod_gasolina;prod_combustoleo;prod_diesel;prod_glp;prod_turbosina;prod_otros;prod_petroquim;kpi_costo_ventas_ratio;kpi_op_margin;kpi_tax_ratio;kpi_ebitda_int;kpi_ebitda_ventas;res_ing_total;res_ventas_mex;res_ventas_exp;res_servicios;res_deterioro_ppye;res_costo_ventas;res_util_bruta;res_otros_ing;res_otros_gast;res_gast_dist;res_gast_admin;res_util_op;res_costo_fin;res_ing_fin;res_derivados;res_fx;res_asociadas;res_uai;res_imp_total;res_derechos;res_imp_corr;res_imp_dif;res_util_neta;res_ori;res_actuarial;res_fx_conv;res_util_integral
T1-2025;2245859.37;520537.47;156489.30;132855.62;39518.63;50420.41;90144.22;32278.93;12953.99;5876.37;1725321.89;2663.60;1626144.14;1059.79;6910.23;14429.55;32536.03;0.00;41578.56;4287252.64;1243145.85;561781.18;404407.26;75656.87;80752.54;111575.66;8972.33;3044106.79;1491671.16;1345150.40;149224.75;15454.03;5108.20;37498.26;-2041393.27;-2041117.26;1432719.04;66730.59;1002.13;191663.42;-3733232.44;-3689905.16;-43327.28;-276.01;2245859.37;2574.36;1830.01;1819.75;1800.25;19.50;10.26;4775.06;4711.96;63.10;1930.62;155.84;1010.80;1229.29;1237.11;631.03;47.94;245.06;158.25;98.08;56.73;550.28;0.71;0.16;0.00;3.00;0.31;395589.50;238259.39;156806.85;523.26;5620.33;280954.82;109014.35;12362.12;6628.28;3100.15;46915.87;63587.63;-41401.87;4769.15;1847.56;-15057.99;67.30;-42030.60;1298.34;0.00;1178.02;120.31;-43328.93;-94291.18;-95566.14;1274.96;-137620.11
T2-2025;2119702.25;459685.72;96368.58;119957.66;46273.65;51721.96;98557.16;25078.36;19591.29;2137.07;1660016.52;3716.15;1563908.41;991.03;6833.31;12796.94;29317.55;0.00;42453.14;4125288.78;1214546.94;529461.79;430540.23;84366.51;76573.05;83567.47;10037.88;2910741.84;1336889.97;1358540.94;159165.62;15646.20;4817.25;35681.85;-2005586.53;-2005300.90;1447255.40;66730.59;1002.13;153422.61;-3673711.64;-3689905.16;16193.51;-285.63;2119702.25;2340.64;1638.20;1630.75;1621.04;9.71;7.45;4531.04;4488.60;42.43;1615.31;117.05;1033.57;1322.76;1342.43;686.01;80.16;289.98;138.15;93.98;54.16;456.02;0.78;-0.03;0.00;1.97;0.19;391621.02;252664.59;138391.41;565.02;34573.36;306874.48;50173.19;4073.06;777.25;4992.34;57546.08;-11099.74;-38466.91;2318.43;19084.84;134685.06;298.80;59594.89;78.53;0.00;532.31;-453.78;59516.36;-38245.98;0.00;-38245.98;21270.37
T3-2025;2398402.67;745704.52;395027.50;118557.99;40889.96;56034.44;92238.47;21461.39;16238.20;5256.57;1652698.15;2731.48;1557621.52;940.74;6898.70;13602.92;29875.65;0.00;41027.14;4294200.33;1209530.77;443168.49;517098.25;85235.05;78500.60;74368.92;11159.46;3084669.56;1400305.45;1477837.42;153669.23;11612.86;4696.50;33619.19;-1895797.66;-1895514.48;1732817.34;66730.59;1002.13;38893.71;-3734958.26;-3689905.16;-45053.10;-283.18;2398402.67;2386.76;1655.97;1648.21;1640.53;7.68;7.76;4651.02;4613.88;37.15;1747.20;128.05;1001.18;1272.90;1296.41;671.42;55.76;282.24;134.96;93.19;58.84;397.85;0.87;-0.03;0.00;1.68;0.15;378880.56;244110.43;134000.87;769.25;12418.50;329143.09;37318.97;6283.41;2059.88;483.62;47352.79;-12884.48;-34703.18;3067.23;-2825.60;33384.18;405.41;-61042.72;199.70;0.00;331.38;-131.68;-61242.42;-114530.64;-100854.50;-13676.14;-175773.06
T4-2025;     2,240,662;510958.00;162562.00;111991.00;29756.00;65486.00;99377.00;21436.00;14534.00;5815.00;     1,729,704;2804.00;     1,637,441;893.00;7396.00;7.63;37336.00;0.00;36203.00;     4,110,507;     1,031,260;345371.00;434474.00;92747.00;71302.00;78106.00;9.26;     3,079,248;     1,186,260;     1,470,220;182415.00;54678.00;4.47;31765.00;   (1,869,846);   (1,869,572);     1,748,030;66731.00;1002.00;49.78;-3735113.00;    (3,689,905);-45208.00;-274.00;     2,240,662;2.42;1.65;1.63;17.00;0.00;0.00;4.79;4.75;38.00;1.69;118.00;1.18;1.16;1.35;705.00;58.00;285.00;152.00;97.00;50.00;494.00;93.8%;5.6%;-0.30;                 0.5;0.05;362.45;252.94;108.65;866.00;-62.94;339.95;85.44;5.82;19.96;2.52;45.45;-23.75;-35.60;12.38;3.48;42.16;216.00;-1.11;-962.00;0.00;0.00;-963.00;-147.00;10.89;21.57;-10.68;10.74
T1-2024;   2,227,829;488141.00;72026.00;128096.00;36.7;74557.00;113018.00;49842.00;9399.00;4502.00;   1,739,688;1789.00;     1,475,637;1079.00;169762.00;24901.00;13522.00;10659.00;42339.00;  3,804,878;990593.00;402624.00;364814.00;79736.00;82372.00;53.29;7756.00;   2,814,285;     1,290,179;      1,385,616;79355.00;13209.00;12941.00;32985.00;  (1,577,049);  (1,576,918);    1,273,444;66731.00;1002.00;-13302.00;-2904793.00; (2,909,489);4696.00;-131.00;   2,227,829;2.57;1.83;1.82;1.80;20.00;10.00;4.78;4.71;63.00;1.92;158.00;1.01;1.26;1.29;648.00;45.00;274.00;182.00;99.00;42.00;606.00;72.6%;8.4%;17.2%;                  3.1;0.28;405.90;235.53;169.69;679.00;7.65;322.19;76.07;4.25;699.00;2.50;0.00;36.40;-34.09;6.54;-5.72;33.39;;36.55;31.87;31.15;644.00;76.00;4.68;-5.99;0.00;-5.99;-1.31
T2-2024;     2,268,211;465584.00;66736.00;130341.00;46689.00;78943.00;103558.00;28532.00;8875.00;1.91;    1,802,628;2054.00;       1,537,152;995.00;160039.00;22226.00;11185.00;24761.00;44216.00;    3,873,961;     1,012,602;396301.00;362517.00;96762.00;94739.00;54298.00;7984.00;    2,861,359;     1,430,247;       1,271,757;92814.00;15909.00;13227.00;37405.00;  (1,605,749);   (1,605,610);      1,341,207;66731.00;1002.00;163558.00;    (3,178,108);  (2,909,489);-268619.00;-140.00;     2,268,211;2.50;1.78;1.76;1.75;18.00;12.00;4.54;4.48;59.00;1.77;156.00;930.00;1.45;1.35;679.00;80.00;305.00;157.00;89.00;43.00;450.00;81.3%;0.1%;-1.4%;      2.0;0.20;409.53;246.30;162.55;683.00;9.90;363.57;36.06;4.33;2.75;5.24;43.75;-11.35;-37.02;3.66;-10.06;-159.68;234.00;-214.23;59.11;45.97;738.00;12.39;-273.33;176.87;131.13;45.74;-96.46
T3-2024;  2,313,210;486527.00;93129.00;119383.00;39838.00;89055.00;105896.00;21.57;11.46;6196.00;  1,826,684;2241.00;  1,562,869;1075.00;159346.00;25.3;11439.00;21474.00;42.94;  4,052,392;  1,052,334;358663.00;402874.00;136693.00;97475.00;48303.00;8326.00;  3,000,058;  1,551,414;  1,285,047;96239.00;16162.00;13342.00;37854.00; (1,739,182); (1,738,926);  1,346,716;66731.00;1002.00;186068.00; (3,339,444); (2,909,489);-429954.00;-256.00;  2,313,210;2.39;1.66;1.65;1.64;8.00;8.00;4.65;4.61;37.00;1.75;128.00;1.00;1.27;1.30;671.00;56.00;282.00;135.00;93.00;59.00;398.00;86.9%;-3.4%;0.1%;                   1.7;0.15;378.88;244.11;134.00;769.00;12.42;329.14;37.32;6.28;2.06;484.00;47.35;-12.88;-34.70;3.07;-2.83;33.38;405.00;-61.04;200.00;0.00;331.00;-132.00;-61.24;-114.53;-100.86;-13.68;-175.77
T4-2024;     2,208,753;439555.00;88842.00;126733.00;32331.00;74533.00;88.57;14.74;9204.00;4602.00;     1,769,198;2693.00;     1,650,533;1022.00;7034.00;17088.00;27729.00;21135.00;41965.00;     4,192,528;     1,207,523;425219.00;505989.00;85941.00;72773.00;108972.00;8628.00;     2,985,005;     1,553,554;     1,232,590;137836.00;17692.00;5136.00;38197.00;   (1,983,776);   (1,983,501);     1,352,716;66731.00;1002.00;285955.00;    (3,689,905);    (2,909,489);-780416.00;-274.00;     2,208,753;2.38;1.68;1.67;1.65;17.00;8.00;4.45;4.39;57.00;1.76;148.00;786.00;0.00;0.00;220.00;176.00;172.00;10.00;38.00;140.00;13.00;93.5%;-9.6%;47.6%;                  0.3;0.03;431.13;240.98;188.97;1.18;1.64;403.27;26.22;6.64;10.95;310.00;51.19;-41.54;-45.19;3.40;-14.31;-48.05;0.00;-145.15;205.34;49.24;-397.00;156.49;-350.49;99.89;82.10;17.79;-250.59
T1-2023;     2,151,338;486030.00;59084.00;8904.00;49558.00;106929.00;142202.00;21682.00;14.5;3034.00;    1,665,308;1961.00;      1,328,019;1252.00;171643.00;27953.00;27635.00;60516.00;46328.00;   3,873,980;917284.00;450736.00;269883.00;91662.00;81146.00;17522.00;6334.00;   2,956,696;       1,493,519;       1,321,052;84687.00;11434.00;6.71;39294.00;   (1,722,642);   (1,722,334);     1,047,292;66731.00;1002.00;23485.00;  (2,860,844);    (2,917,596);56752.00;-308.00;     2,151,338;2.67;1.89;1.87;1.85;13.00;20.00;4.99;4.92;73.00;2.23;169.00;856.00;1.05;1.29;637.00;70.00;284.00;165.00;94.00;37.00;616.00;72.6%;8.4%;17.2%;                   3.1;0.28;418.44;242.32;175.58;526.00;40.14;303.98;74.32;6.20;727.00;4.58;0.00;34.98;-38.18;6.02;298.00;125.32;110.00;128.54;71.81;71.92;426.00;-540.00;56.74;-28.26;0.00;-28.26;28.48
T2-2023;    2,125,919;478712.00;64115.00;113476.00;55321.00;89767.00;112402.00;29229.00;12556.00;1844.00;   1,647,207;1787.00;      1,331,420;1372.00;167925.00;22622.00;21741.00;52869.00;47.47;   3,847,137;995869.00;516456.00;231158.00;119472.00;90734.00;31232.00;6818.00;   2,851,268;       1,370,161;     1,336,858;82576.00;16687.00;6588.00;38398.00;    (1,721,218);  (1,720,892);    1,047,292;66731.00;1002.00;-512.00;  (2,835,405);   (2,917,596);82191.00;-326.00;    2,125,919;2.69;1.91;1.89;1.88;11.00;21.00;5.06;4.99;69.00;2.19;176.00;822.00;0.00;292.00;129.00;0.00;87.00;0.00;19.00;58.00;8.00;79.3%;5.2%;16.8%;                 2.6;0.23;414.16;218.91;193.67;1.58;25.95;328.56;59.65;5.97;1.94;2.91;39.25;21.52;-36.61;2.21;2.49;105.36;42.00;95.01;69.59;65.28;686.00;3.62;25.42;-24.00;0.00;-24.00;1.42
